Ref ID,Genus,Species,Sex,Sex Confidence ,Age (years),Age Confidence ,Social with other parrots? ,Social with conspecifics?,"""mimicry"" sounds count","""phrase"" count","""word"" count",Improvisation/ word reorganization,Contextual use of mimicry,,,,,,,,,,,,,,,,,,,,
357,Bolborhynchus,lineola,Unknown,,,,Yes,No,4,0,0,,Sometimes,,,,,,,,,,,,,,,,,,,,
14,Bolborhynchus,lineola,Male,High,4,High,Yes,No,1,6,16,Never,,,,,,,,,,,,,,,,,,,,,
590,Brotogeris,versicolurus,Unknown,,5,Medium,Yes,No,5,3,4,Never,Never,,,,,,,,,,,,,,,,,,,,
214,Brotogeris ,versicolurus,Unknown,,2,High,Yes,No,0,5,6,Never,Frequently,,,,,,,,,,,,,,,,,,,,
156,Cacatua,alba,Female,Low,24,Medium,Yes,No,2,10,40,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
177,Cacatua,alba,Male,Low,16,Medium,No,,0,6,7,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
285,Cacatua,alba,Female,High,19,Medium,Yes,Yes,3,9,11,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
438,Cacatua,alba,Female,Low,7,High,No,No,4,10,25,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
522,Cacatua,alba,Male,High,15,High,Yes,No,2,4,21,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
798,Cacatua,alba,Male,High,16,Medium,Yes,Yes,2,6,11,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
128,Cacatua,alba,Male,High,20,High,No,,3,1,3,Never,Frequently,,,,,,,,,,,,,,,,,,,,
758,Cacatua,alba,Male,High,3.5,High,Yes,No,11,3,8,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
111,Cacatua,alba,Female,High,30,Medium,No,,0,10,12,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
833,Cacatua,alba,Male,Low,20,Medium,No,,4,13,16,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
621,Cacatua,alba,Female,High,21,Medium,Yes,Yes,1,1,2,Never,Never,,,,,,,,,,,,,,,,,,,,
620,Cacatua,alba,Female,Low,,,Yes,Yes,4,1,4,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
33,Cacatua,galerita,Male,High,13,,Yes,No,6,100,50,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
229,Cacatua,galerita,Male,Low,7,Low,Yes,No,5,15,40,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
546,Cacatua,galerita,Male,Low,19,High,No,No,10,17,30,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
658,Cacatua,galerita,Male,High,12,Medium,No,,5,12,20,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
655,Cacatua,galerita,Female,High,1,High,No,,1,4,8,Never,Never,,,,,,,,,,,,,,,,,,,,
446,Cacatua,galerita,Unknown,,23,Medium,Yes,No,5,9,16,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
9,Cacatua,galerita,Male,High,20,Medium,,,2,4,7,Sometimes,,,,,,,,,,,,,,,,,,,,,
12,Cacatua,galerita,Male,Low,20,Medium,,,7,12,26,Frequently,,,,,,,,,,,,,,,,,,,,,
46,Cacatua,galerita,Male,High,29,,No,,1,8,50,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
693,Cacatua,galerita,Male,High,20,Medium,Yes,Yes,1,5,7,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
247,Cacatua,goffiniana,Male,Low,5,Medium,No,,3,10,30,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
553,Cacatua,goffiniana,Female,High,28,High,Yes,No,3,7,16,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
891,Cacatua,goffiniana,Female,High,21,High,Yes,Yes,1,5,6,Sometimes,Never,,,,,,,,,,,,,,,,,,,,
155,Cacatua,goffiniana,Male,Low,34,,Yes,No,1,1,2,Never,Never,,,,,,,,,,,,,,,,,,,,
180,Cacatua,goffiniana,Unknown,,14.5,High,No,,0,1,2,Never,Never,,,,,,,,,,,,,,,,,,,,
192,Cacatua,goffiniana,Female,High,18,High,Yes,No,0,2,2,Frequently,Sometimes,,,,,,,,,,,,,,,,,,,,
811,Cacatua,goffiniana,Male,High,26,Medium,No,No,0,1,1,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
892,Cacatua,goffiniana,Female,High,10,High,Yes,Yes,3,1,3,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
893,Cacatua,goffiniana,Female,High,1,High,Yes,Yes,2,1,3,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
94,Cacatua,moluccensis,Male,High,34,High,Yes,Yes,1,8,18,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
234,Cacatua,moluccensis,Male,Low,25,Low,No,,3,1,2,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
